number,bottlecode,daterun,instrument,analyte,resulttype,runlabel,result,unit,labdupTF,labuser,recorduser,flag,note,dateentered
52,0101-10,7/30/2021,beckmanspec,abs600,sample,abs600,0.00468,absunits,FALSE,SP,SP,,,2021
53,0101-10,7/30/2021,beckmanspec,abs620,sample,abs620,0.00437,absunits,FALSE,SP,SP,,,2021
54,0101-10,7/30/2021,beckmanspec,abs640,sample,abs640,0.00409,absunits,FALSE,SP,SP,,,2021
55,0101-10,7/30/2021,beckmanspec,abs660,sample,abs660,0.0038,absunits,FALSE,SP,SP,,,2021
56,0101-10,7/30/2021,beckmanspec,abs680,sample,abs680,0.00357,absunits,FALSE,SP,SP,,,2021
57,0101-10,7/30/2021,beckmanspec,abs700,sample,abs700,0.00335,absunits,FALSE,SP,SP,,,2021
58,0101-10,7/30/2021,beckmanspec,abs720,sample,abs720,0.00315,absunits,FALSE,SP,SP,,,2021
59,0101-10,7/30/2021,beckmanspec,abs740,sample,abs740,0.00286,absunits,FALSE,SP,SP,,,2021
60,0101-10,7/30/2021,beckmanspec,abs760,sample,abs760,0.00273,absunits,FALSE,SP,SP,,,2021
61,0101-10,7/30/2021,beckmanspec,abs780,sample,abs780,0.00261,absunits,FALSE,SP,SP,,,2021
62,0101-10,7/30/2021,beckmanspec,abs800,sample,abs800,0.00247,absunits,FALSE,SP,SP,,,2021
63,0102-10,7/30/2021,beckmanspec,abs200,sample,abs200,0.73687,absunits,FALSE,SP,SP,,,2021
64,0102-10,7/30/2021,beckmanspec,abs202,sample,abs202,0.56294,absunits,FALSE,SP,SP,,,2021
65,0102-10,7/30/2021,beckmanspec,abs204,sample,abs204,0.48615,absunits,FALSE,SP,SP,,,2021
66,0102-10,7/30/2021,beckmanspec,abs206,sample,abs206,0.44103,absunits,FALSE,SP,SP,,,2021
67,0102-10,7/30/2021,beckmanspec,abs208,sample,abs208,0.40935,absunits,FALSE,SP,SP,,,2021
68,0102-10,7/30/2021,beckmanspec,abs210,sample,abs210,0.38275,absunits,FALSE,SP,SP,,,2021
69,0102-10,7/30/2021,beckmanspec,abs220,sample,abs220,0.2935,absunits,FALSE,SP,SP,,,2021
70,0102-10,7/30/2021,beckmanspec,abs230,sample,abs230,0.24236,absunits,FALSE,SP,SP,,,2021
71,0102-10,7/30/2021,beckmanspec,abs240,sample,abs240,0.20905,absunits,FALSE,SP,SP,,,2021
72,0102-10,7/30/2021,beckmanspec,abs250,sample,abs250,0.18552,absunits,FALSE,SP,SP,,,2021
73,0102-10,7/30/2021,beckmanspec,abs254,sample,abs254,0.17825,absunits,FALSE,SP,SP,,,2021
74,0102-10,7/30/2021,beckmanspec,abs260,sample,abs260,0.16844,absunits,FALSE,SP,SP,,,2021
75,0102-10,7/30/2021,beckmanspec,abs270,sample,abs270,0.15027,absunits,FALSE,SP,SP,,,2021
76,0102-10,7/30/2021,beckmanspec,abs280,sample,abs280,0.12953,absunits,FALSE,SP,SP,,,2021
77,0102-10,7/30/2021,beckmanspec,abs290,sample,abs290,0.10923,absunits,FALSE,SP,SP,,,2021
78,0102-10,7/30/2021,beckmanspec,abs275,sample,abs275,0.13977,absunits,FALSE,SP,SP,,,2021
79,0102-10,7/30/2021,beckmanspec,abs285,sample,abs285,0.11882,absunits,FALSE,SP,SP,,,2021
80,0102-10,7/30/2021,beckmanspec,abs295,sample,abs295,0.09944,absunits,FALSE,SP,SP,,,2021
81,0102-10,7/30/2021,beckmanspec,abs300,sample,abs300,0.09111,absunits,FALSE,SP,SP,,,2021
82,0102-10,7/30/2021,beckmanspec,abs310,sample,abs310,0.07788,absunits,FALSE,SP,SP,,,2021
83,0102-10,7/30/2021,beckmanspec,abs320,sample,abs320,0.06777,absunits,FALSE,SP,SP,,,2021
84,0102-10,7/30/2021,beckmanspec,abs330,sample,abs330,0.05719,absunits,FALSE,SP,SP,,,2021
85,0102-10,7/30/2021,beckmanspec,abs340,sample,abs340,0.05011,absunits,FALSE,SP,SP,,,2021
86,0102-10,7/30/2021,beckmanspec,abs350,sample,abs350,0.04437,absunits,FALSE,SP,SP,,,2021
87,0102-10,7/30/2021,beckmanspec,abs360,sample,abs360,0.03704,absunits,FALSE,SP,SP,,,2021
88,0102-10,7/30/2021,beckmanspec,abs370,sample,abs370,0.03315,absunits,FALSE,SP,SP,,,2021
89,0102-10,7/30/2021,beckmanspec,abs380,sample,abs380,0.03022,absunits,FALSE,SP,SP,,,2021
90,0102-10,7/30/2021,beckmanspec,abs390,sample,abs390,0.02623,absunits,FALSE,SP,SP,,,2021
91,0102-10,7/30/2021,beckmanspec,abs400,sample,abs400,0.02361,absunits,FALSE,SP,SP,,,2021
92,0102-10,7/30/2021,beckmanspec,abs410,sample,abs410,0.02151,absunits,FALSE,SP,SP,,,2021
93,0102-10,7/30/2021,beckmanspec,abs412,sample,abs412,0.02127,absunits,FALSE,SP,SP,,,2021
94,0102-10,7/30/2021,beckmanspec,abs420,sample,abs420,0.02005,absunits,FALSE,SP,SP,,,2021
95,0102-10,7/30/2021,beckmanspec,abs430,sample,abs430,0.01836,absunits,FALSE,SP,SP,,,2021
96,0102-10,7/30/2021,beckmanspec,abs440,sample,abs440,0.01694,absunits,FALSE,SP,SP,,,2021
97,0102-10,7/30/2021,beckmanspec,abs450,sample,abs450,0.01572,absunits,FALSE,SP,SP,,,2021
98,0102-10,7/30/2021,beckmanspec,abs460,sample,abs460,0.01472,absunits,FALSE,SP,SP,,,2021
99,0102-10,7/30/2021,beckmanspec,abs470,sample,abs470,0.01438,absunits,FALSE,SP,SP,,,2021
100,0102-10,7/30/2021,beckmanspec,abs480,sample,abs480,0.01347,absunits,FALSE,SP,SP,,,2021
101,0102-10,7/30/2021,beckmanspec,abs490,sample,abs490,0.0128,absunits,FALSE,SP,SP,,,2021
102,0102-10,7/30/2021,beckmanspec,abs500,sample,abs500,0.01226,absunits,FALSE,SP,SP,,,2021
103,0102-10,7/30/2021,beckmanspec,abs510,sample,abs510,0.01181,absunits,FALSE,SP,SP,,,2021
104,0102-10,7/30/2021,beckmanspec,abs520,sample,abs520,0.01134,absunits,FALSE,SP,SP,,,2021
105,0102-10,7/30/2021,beckmanspec,abs530,sample,abs530,0.01102,absunits,FALSE,SP,SP,,,2021
106,0102-10,7/30/2021,beckmanspec,abs532,sample,abs532,0.01094,absunits,FALSE,SP,SP,,,2021
107,0102-10,7/30/2021,beckmanspec,abs540,sample,abs540,0.01066,absunits,FALSE,SP,SP,,,2021
108,0102-10,7/30/2021,beckmanspec,abs550,sample,abs550,0.01036,absunits,FALSE,SP,SP,,,2021
109,0102-10,7/30/2021,beckmanspec,abs555,sample,abs555,0.01015,absunits,FALSE,SP,SP,,,2021
110,0102-10,7/30/2021,beckmanspec,abs560,sample,abs560,0.01003,absunits,FALSE,SP,SP,,,2021
111,0102-10,7/30/2021,beckmanspec,abs570,sample,abs570,0.00978,absunits,FALSE,SP,SP,,,2021
112,0102-10,7/30/2021,beckmanspec,abs580,sample,abs580,0.00957,absunits,FALSE,SP,SP,,,2021
113,0102-10,7/30/2021,beckmanspec,abs590,sample,abs590,0.00934,absunits,FALSE,SP,SP,,,2021
114,0102-10,7/30/2021,beckmanspec,abs600,sample,abs600,0.00906,absunits,FALSE,SP,SP,,,2021
115,0102-10,7/30/2021,beckmanspec,abs620,sample,abs620,0.00865,absunits,FALSE,SP,SP,,,2021
116,0102-10,7/30/2021,beckmanspec,abs640,sample,abs640,0.00816,absunits,FALSE,SP,SP,,,2021
117,0102-10,7/30/2021,beckmanspec,abs660,sample,abs660,0.0078,absunits,FALSE,SP,SP,,,2021
118,0102-10,7/30/2021,beckmanspec,abs680,sample,abs680,0.00733,absunits,FALSE,SP,SP,,,2021
119,0102-10,7/30/2021,beckmanspec,abs700,sample,abs700,0.00689,absunits,FALSE,SP,SP,,,2021
120,0102-10,7/30/2021,beckmanspec,abs720,sample,abs720,0.00635,absunits,FALSE,SP,SP,,,2021
121,0102-10,7/30/2021,beckmanspec,abs740,sample,abs740,0.00573,absunits,FALSE,SP,SP,,,2021
122,0102-10,7/30/2021,beckmanspec,abs760,sample,abs760,0.00557,absunits,FALSE,SP,SP,,,2021
123,0102-10,7/30/2021,beckmanspec,abs780,sample,abs780,0.00531,absunits,FALSE,SP,SP,,,2021
124,0102-10,7/30/2021,beckmanspec,abs800,sample,abs800,0.00493,absunits,FALSE,SP,SP,,,2021
125,0103-10,7/30/2021,beckmanspec,abs200,sample,abs200,0.77107,absunits,FALSE,SP,SP,,,2021
126,0103-10,7/30/2021,beckmanspec,abs202,sample,abs202,0.5927,absunits,FALSE,SP,SP,,,2021
127,0103-10,7/30/2021,beckmanspec,abs204,sample,abs204,0.51693,absunits,FALSE,SP,SP,,,2021
128,0103-10,7/30/2021,beckmanspec,abs206,sample,abs206,0.47111,absunits,FALSE,SP,SP,,,2021
129,0103-10,7/30/2021,beckmanspec,abs208,sample,abs208,0.43643,absunits,FALSE,SP,SP,,,2021
130,0103-10,7/30/2021,beckmanspec,abs210,sample,abs210,0.40846,absunits,FALSE,SP,SP,,,2021
131,0103-10,7/30/2021,beckmanspec,abs220,sample,abs220,0.30986,absunits,FALSE,SP,SP,,,2021
132,0103-10,7/30/2021,beckmanspec,abs230,sample,abs230,0.25638,absunits,FALSE,SP,SP,,,2021
133,0103-10,7/30/2021,beckmanspec,abs240,sample,abs240,0.22191,absunits,FALSE,SP,SP,,,2021
134,0103-10,7/30/2021,beckmanspec,abs250,sample,abs250,0.19784,absunits,FALSE,SP,SP,,,2021
135,0103-10,7/30/2021,beckmanspec,abs254,sample,abs254,0.19043,absunits,FALSE,SP,SP,,,2021
136,0103-10,7/30/2021,beckmanspec,abs275,sample,abs275,0.15154,absunits,FALSE,SP,SP,,,2021
137,0103-10,7/30/2021,beckmanspec,abs280,sample,abs280,0.14108,absunits,FALSE,SP,SP,,,2021
138,0103-10,7/30/2021,beckmanspec,abs285,sample,abs285,0.13061,absunits,FALSE,SP,SP,,,2021
139,0103-10,7/30/2021,beckmanspec,abs290,sample,abs290,0.12032,absunits,FALSE,SP,SP,,,2021
140,0103-10,7/30/2021,beckmanspec,abs295,sample,abs295,0.11102,absunits,FALSE,SP,SP,,,2021
141,0103-10,7/30/2021,beckmanspec,abs412,sample,abs412,0.0313,absunits,FALSE,SP,SP,,,2021
142,0103-10,7/30/2021,beckmanspec,abs532,sample,abs532,0.01955,absunits,FALSE,SP,SP,,,2021
143,0103-10,7/30/2021,beckmanspec,abs555,sample,abs555,0.01849,absunits,FALSE,SP,SP,,,2021
144,0109-10,7/30/2021,beckmanspec,abs200,sample,abs200,0.35215,absunits,FALSE,SP,SP,,,2021
145,0109-10,7/30/2021,beckmanspec,abs202,sample,abs202,0.27409,absunits,FALSE,SP,SP,,,2021
146,0109-10,7/30/2021,beckmanspec,abs204,sample,abs204,0.23259,absunits,FALSE,SP,SP,,,2021
147,0109-10,7/30/2021,beckmanspec,abs206,sample,abs206,0.20587,absunits,FALSE,SP,SP,,,2021
148,0109-10,7/30/2021,beckmanspec,abs208,sample,abs208,0.18497,absunits,FALSE,SP,SP,,,2021
149,0109-10,7/30/2021,beckmanspec,abs210,sample,abs210,0.16853,absunits,FALSE,SP,SP,,,2021
150,0109-10,7/30/2021,beckmanspec,abs220,sample,abs220,0.11151,absunits,FALSE,SP,SP,,,2021
151,0109-10,7/30/2021,beckmanspec,abs230,sample,abs230,0.08552,absunits,FALSE,SP,SP,,,2021
152,0109-10,7/30/2021,beckmanspec,abs240,sample,abs240,0.07362,absunits,FALSE,SP,SP,,,2021
153,0109-10,7/30/2021,beckmanspec,abs250,sample,abs250,0.06457,absunits,FALSE,SP,SP,,,2021
154,0109-10,7/30/2021,beckmanspec,abs254,sample,abs254,0.06116,absunits,FALSE,SP,SP,,,2021
155,0109-10,7/30/2021,beckmanspec,abs275,sample,abs275,0.04888,absunits,FALSE,SP,SP,,,2021
156,0109-10,7/30/2021,beckmanspec,abs280,sample,abs280,0.04678,absunits,FALSE,SP,SP,,,2021
157,0109-10,7/30/2021,beckmanspec,abs285,sample,abs285,0.04362,absunits,FALSE,SP,SP,,,2021
158,0109-10,7/30/2021,beckmanspec,abs290,sample,abs290,0.0411,absunits,FALSE,SP,SP,,,2021
159,0109-10,7/30/2021,beckmanspec,abs295,sample,abs295,0.03823,absunits,FALSE,SP,SP,,,2021
160,0109-10,7/30/2021,beckmanspec,abs412,sample,abs412,0.01609,absunits,FALSE,SP,SP,,,2021
161,0109-10,7/30/2021,beckmanspec,abs532,sample,abs532,0.0111,absunits,FALSE,SP,SP,,,2021
162,0109-10,7/30/2021,beckmanspec,abs555,sample,abs555,0.01053,absunits,FALSE,SP,SP,,,2021
163,0099-10,7/30/2021,beckmanspec,abs200,sample,abs200,0.35215,absunits,FALSE,SP,SP,,,2021
164,0099-10,7/30/2021,beckmanspec,abs202,sample,abs202,0.27616,absunits,FALSE,SP,SP,,,2021
165,0099-10,7/30/2021,beckmanspec,abs204,sample,abs204,0.2358,absunits,FALSE,SP,SP,,,2021
166,0099-10,7/30/2021,beckmanspec,abs206,sample,abs206,0.20972,absunits,FALSE,SP,SP,,,2021
167,0099-10,7/30/2021,beckmanspec,abs208,sample,abs208,0.19022,absunits,FALSE,SP,SP,,,2021
168,0099-10,7/30/2021,beckmanspec,abs210,sample,abs210,0.17437,absunits,FALSE,SP,SP,,,2021
169,0099-10,7/30/2021,beckmanspec,abs220,sample,abs220,0.12197,absunits,FALSE,SP,SP,,,2021
170,0099-10,7/30/2021,beckmanspec,abs230,sample,abs230,0.09757,absunits,FALSE,SP,SP,,,2021
171,0099-10,7/30/2021,beckmanspec,abs240,sample,abs240,0.08309,absunits,FALSE,SP,SP,,,2021
172,0099-10,7/30/2021,beckmanspec,abs250,sample,abs250,0.07297,absunits,FALSE,SP,SP,,,2021
173,0099-10,7/30/2021,beckmanspec,abs254,sample,abs254,0.06958,absunits,FALSE,SP,SP,,,2021
174,0099-10,7/30/2021,beckmanspec,abs275,sample,abs275,0.05828,absunits,FALSE,SP,SP,,,2021
175,0099-10,7/30/2021,beckmanspec,abs280,sample,abs280,0.05529,absunits,FALSE,SP,SP,,,2021
176,0099-10,7/30/2021,beckmanspec,abs285,sample,abs285,0.05157,absunits,FALSE,SP,SP,,,2021
177,0099-10,7/30/2021,beckmanspec,abs290,sample,abs290,0.04842,absunits,FALSE,SP,SP,,,2021
178,0099-10,7/30/2021,beckmanspec,abs295,sample,abs295,0.04496,absunits,FALSE,SP,SP,,,2021
179,0099-10,7/30/2021,beckmanspec,abs412,sample,abs412,0.01774,absunits,FALSE,SP,SP,,,2021
180,0099-10,7/30/2021,beckmanspec,abs532,sample,abs532,0.01201,absunits,FALSE,SP,SP,,,2021
181,0099-10,7/30/2021,beckmanspec,abs555,sample,abs555,0.0115,absunits,FALSE,SP,SP,,,2021
182,0110-10,7/30/2021,beckmanspec,abs200,sample,abs200,0.34392,absunits,FALSE,SP,SP,,,2021
183,0110-10,7/30/2021,beckmanspec,abs202,sample,abs202,0.26759,absunits,FALSE,SP,SP,,,2021
184,0110-10,7/30/2021,beckmanspec,abs204,sample,abs204,0.22595,absunits,FALSE,SP,SP,,,2021
185,0110-10,7/30/2021,beckmanspec,abs206,sample,abs206,0.20003,absunits,FALSE,SP,SP,,,2021
186,0110-10,7/30/2021,beckmanspec,abs208,sample,abs208,0.17978,absunits,FALSE,SP,SP,,,2021
187,0110-10,7/30/2021,beckmanspec,abs210,sample,abs210,0.16401,absunits,FALSE,SP,SP,,,2021
188,0110-10,7/30/2021,beckmanspec,abs220,sample,abs220,0.10899,absunits,FALSE,SP,SP,,,2021
189,0110-10,7/30/2021,beckmanspec,abs230,sample,abs230,0.08342,absunits,FALSE,SP,SP,,,2021
190,0110-10,7/30/2021,beckmanspec,abs240,sample,abs240,0.07164,absunits,FALSE,SP,SP,,,2021
191,0110-10,7/30/2021,beckmanspec,abs250,sample,abs250,0.06274,absunits,FALSE,SP,SP,,,2021
192,0110-10,7/30/2021,beckmanspec,abs254,sample,abs254,0.06001,absunits,FALSE,SP,SP,corrected data entry error (originally recorded as 0.6001),,2021
193,0110-10,7/30/2021,beckmanspec,abs275,sample,abs275,0.04779,absunits,FALSE,SP,SP,,,2021
194,0110-10,7/30/2021,beckmanspec,abs280,sample,abs280,0.04573,absunits,FALSE,SP,SP,,,2021
195,0110-10,7/30/2021,beckmanspec,abs285,sample,abs285,0.04296,absunits,FALSE,SP,SP,,,2021
196,0110-10,7/30/2021,beckmanspec,abs290,sample,abs290,0.04018,absunits,FALSE,SP,SP,,,2021
197,0110-10,7/30/2021,beckmanspec,abs295,sample,abs295,0.03803,absunits,FALSE,SP,SP,,,2021
198,0110-10,7/30/2021,beckmanspec,abs412,sample,abs412,0.01599,absunits,FALSE,SP,SP,,,2021
199,0110-10,7/30/2021,beckmanspec,abs532,sample,abs532,0.01065,absunits,FALSE,SP,SP,corrected data entry error (originally recorded as 0.1065),,2021
200,0110-10,7/30/2021,beckmanspec,abs555,sample,abs555,0.0101,absunits,FALSE,SP,SP,,,2021
201,0105-10,7/30/2021,beckmanspec,abs200,sample,abs200,0.34121,absunits,FALSE,SP,SP,corrected data entry error (originally recorded as 0.034121),,2021
202,0105-10,7/30/2021,beckmanspec,abs202,sample,abs202,0.26374,absunits,FALSE,SP,SP,,,2021
203,0105-10,7/30/2021,beckmanspec,abs204,sample,abs204,0.22438,absunits,FALSE,SP,SP,,,2021
204,0105-10,7/30/2021,beckmanspec,abs206,sample,abs206,0.1972,absunits,FALSE,SP,SP,,,2021
205,0105-10,7/30/2021,beckmanspec,abs208,sample,abs208,0.17827,absunits,FALSE,SP,SP,,,2021
206,0105-10,7/30/2021,beckmanspec,abs210,sample,abs210,0.16287,absunits,FALSE,SP,SP,,,2021
207,0105-10,7/30/2021,beckmanspec,abs220,sample,abs220,0.11462,absunits,FALSE,SP,SP,,,2021
208,0105-10,7/30/2021,beckmanspec,abs230,sample,abs230,0.09088,absunits,FALSE,SP,SP,,,2021
209,0105-10,7/30/2021,beckmanspec,abs240,sample,abs240,0.07696,absunits,FALSE,SP,SP,,,2021
210,0105-10,7/30/2021,beckmanspec,abs250,sample,abs250,0.06715,absunits,FALSE,SP,SP,,,2021
211,0105-10,7/30/2021,beckmanspec,abs254,sample,abs254,0.06491,absunits,FALSE,SP,SP,,,2021
212,0105-10,7/30/2021,beckmanspec,abs275,sample,abs275,0.05316,absunits,FALSE,SP,SP,,,2021
213,0105-10,7/30/2021,beckmanspec,abs280,sample,abs280,0.05028,absunits,FALSE,SP,SP,,,2021
214,0105-10,7/30/2021,beckmanspec,abs285,sample,abs285,0.04701,absunits,FALSE,SP,SP,,,2021
215,0105-10,7/30/2021,beckmanspec,abs290,sample,abs290,0.04372,absunits,FALSE,SP,SP,,,2021
216,0105-10,7/30/2021,beckmanspec,abs295,sample,abs295,0.04057,absunits,FALSE,SP,SP,,,2021
217,0105-10,7/30/2021,beckmanspec,abs412,sample,abs412,0.01295,absunits,FALSE,SP,SP,,,2021
218,0105-10,7/30/2021,beckmanspec,abs532,sample,abs532,0.00734,absunits,FALSE,SP,SP,,,2021
219,0105-10,7/30/2021,beckmanspec,abs555,sample,abs555,0.00682,absunits,FALSE,SP,SP,,,2021
220,0107-10,7/30/2021,beckmanspec,abs200,sample,abs200,0.33081,absunits,FALSE,SP,SP,,,2021
221,0107-10,7/30/2021,beckmanspec,abs202,sample,abs202,0.25255,absunits,FALSE,SP,SP,,,2021
222,0107-10,7/30/2021,beckmanspec,abs204,sample,abs204,0.21186,absunits,FALSE,SP,SP,,,2021
223,0107-10,7/30/2021,beckmanspec,abs206,sample,abs206,0.1864,absunits,FALSE,SP,SP,,,2021
224,0107-10,7/30/2021,beckmanspec,abs208,sample,abs208,0.16683,absunits,FALSE,SP,SP,,,2021
225,0107-10,7/30/2021,beckmanspec,abs210,sample,abs210,0.15132,absunits,FALSE,SP,SP,,,2021
226,0107-10,7/30/2021,beckmanspec,abs220,sample,abs220,0.10231,absunits,FALSE,SP,SP,,,2021
227,0107-10,7/30/2021,beckmanspec,abs230,sample,abs230,0.07824,absunits,FALSE,SP,SP,,,2021
228,0107-10,7/30/2021,beckmanspec,abs240,sample,abs240,0.06667,absunits,FALSE,SP,SP,,,2021
229,0107-10,7/30/2021,beckmanspec,abs250,sample,abs250,0.0586,absunits,FALSE,SP,SP,,,2021
230,0107-10,7/30/2021,beckmanspec,abs254,sample,abs254,0.05584,absunits,FALSE,SP,SP,,,2021
231,0107-10,7/30/2021,beckmanspec,abs275,sample,abs275,0.04394,absunits,FALSE,SP,SP,,,2021
232,0107-10,7/30/2021,beckmanspec,abs280,sample,abs280,0.04167,absunits,FALSE,SP,SP,,,2021
233,0107-10,7/30/2021,beckmanspec,abs285,sample,abs285,0.03954,absunits,FALSE,SP,SP,,,2021
234,0107-10,7/30/2021,beckmanspec,abs290,sample,abs290,0.03674,absunits,FALSE,SP,SP,,,2021
235,0107-10,7/30/2021,beckmanspec,abs295,sample,abs295,0.03435,absunits,FALSE,SP,SP,,,2021
236,0107-10,7/30/2021,beckmanspec,abs412,sample,abs412,0.01191,absunits,FALSE,SP,SP,,,2021
237,0107-10,7/30/2021,beckmanspec,abs532,sample,abs532,0.00741,absunits,FALSE,SP,SP,,,2021
238,0107-10,7/30/2021,beckmanspec,abs555,sample,abs555,0.00696,absunits,FALSE,SP,SP,,,2021
239,0100-10,7/30/2021,beckmanspec,abs200,sample,abs200,0.33266,absunits,FALSE,SP,SP,,,2021
240,0100-10,7/30/2021,beckmanspec,abs202,sample,abs202,0.25756,absunits,FALSE,SP,SP,,,2021
241,0100-10,7/30/2021,beckmanspec,abs204,sample,abs204,0.2173,absunits,FALSE,SP,SP,,,2021
242,0100-10,7/30/2021,beckmanspec,abs206,sample,abs206,0.19194,absunits,FALSE,SP,SP,,,2021
